;Visual Properties;;;;;;Labels;;;;Layout;;;;;;Graph Metrics;;;;;;;;;Do Not Edit;;Other Columns;;;;;;;;;;;;;;;;;;
Vertex;Color;Shape;Size;Opacity;Image File;Visibility;Label;Label Fill Color;Label Position;Tooltip;Layout Order;X;Y;Locked?;Polar R;Polar Angle;Degree;In-Degree;Out-Degree;Betweenness Centrality;Closeness Centrality;Eigenvector Centrality;PageRank;Clustering Coefficient;Reciprocated Vertex Pair Ratio;ID;Dynamic Filter;Add Your Own Columns Here;Followed;Followers;Tweets;Favorites;Time Zone UTC Offset (Seconds);Description;Location;Web;Time Zone;Joined Twitter Date (UTC);Custom Menu Item Text;Custom Menu Item Action;Tweeted Search Term?;;;;;
minpres;;;;;http://pbs.twimg.com/profile_images/1163352047263125504/b4hlpEUO_normal.jpg;;;;;"minpres

";;6.441,4;6.232,4;;;;;;;;;;;;;16;;;39;1215901;4397;16;;Minister-president van Nederland – Redactie door de Rijksvoorlichtingsdienst.;Nederland;https://t.co/0FOfzD7KCb;;14-6-2010 09:40;Open Twitter Page for This Person;https://twitter.com/minpres;No;;;;;
olifant;;;;;http://pbs.twimg.com/profile_images/1324748860145750018/OHWf23Zr_normal.jpg;;;;;"olifant

@Wonders_Always @jokierotterdam
Denk er maar #wappie achter";;6.356,0;2.148,9;;;;;;;;;;;;;17;;;3085;10330;154503;151668;;Deugniet. Covfefe programmeur. Covid-19 watcher. Moron magnet. GeenStijl.;Amsterdam;;;5-4-2008 11:21;Open Twitter Page for This Person;https://twitter.com/olifant;Yes;;;;;
ralpharma84;;;;;http://pbs.twimg.com/profile_images/1354868129374081026/m9dAE8rY_normal.jpg;;;;;"ralpharma84

Die @MathijsvdTang heeft bij de
@NOS wel een punt: verschil tussen
mannen en vrouwen heeft altijd
al bestaan en dat… https://t.co/9n4vrCPulN";;5.292,0;3.652,5;;;;;;;;;;;;;18;;;147;103;7568;10558;;"""Biology enables, culture forbids” Laatste woordgrappen🔞 💚 ""The greatest teacher, failure is"" 💚 #teamsnaaizin";Eemnes, Nederland;;;3-6-2015 10:23;Open Twitter Page for This Person;https://twitter.com/ralpharma84;Yes;;;;;
nos;;;;;http://pbs.twimg.com/profile_images/1178582393634066437/6H6D2tG5_normal.jpg;;;;;"nos

";;5.779,5;8.829,1;;;;;;;;;;;;;19;;;24;1260985;357121;415;;Altijd. Overal. NOS. Volg ons voor het laatste nieuws.;Hilversum;http://t.co/EKzPaBdjln;;30-6-2007 18:31;Open Twitter Page for This Person;https://twitter.com/nos;No;;;;;
mathijsvdtang;;;;;http://pbs.twimg.com/profile_images/1374126010753515521/xjZlE4aK_normal.jpg;;;;;"mathijsvdtang

";;7.343,7;2.847,8;;;;;;;;;;;;;20;;;984;2723;17467;13054;;Conservatief christelijk | “enfant terrible van twitter” @V1ctorW | voorzitter @sgpjv | geografie | columnist @cipnl | tekenaar | Altijd in voor discussie;Rhenen, Nederland;;;12-8-2015 22:40;Open Twitter Page for This Person;https://twitter.com/mathijsvdtang;No;;;;;
zijvannummer93;;;;;http://pbs.twimg.com/profile_images/1376137806855159809/18sdGvxa_normal.jpg;;;;;"zijvannummer93

Zo, weer een #wappie geblockt.
Ben de discussie maar niet aangegaan,
kon me nog inhouden.";;7.260,6;9.405,5;;;;;;;;;;;;;21;;;549;559;1449;16549;;Anneke | koffie, véél koffie ☕☕☕☕ | Wappies die in mijn TL verschijnen worden meteen geblockt. Idem extreemrechts | Verder best  vredelievend en verdraagzaam 😇;Twente;;;4-12-2019 19:09;Open Twitter Page for This Person;https://twitter.com/zijvannummer93;Yes;;;;;
kobus55163188;;;;;http://pbs.twimg.com/profile_images/1331722629108084736/-S-0qWHm_normal.jpg;;;;;"kobus55163188

@ByLiathroid @WBHoekstra @Het_OM
@ABNAMRO @DNB_NL En #Baudet natuurlijk
maar dat om andere redenen. #wappie";;5.105,0;4.368,1;;;;;;;;;;;;;22;;;15;12;369;74;;op dit moment maar één ding en dat is dat Rutte en zijn boevenbende geen bestuursfuncties mogen hebben.;Nederland;;;22-9-2020 20:58;Open Twitter Page for This Person;https://twitter.com/kobus55163188;Yes;;;;;
dnb_nl;;;;;http://pbs.twimg.com/profile_images/506380020453892097/U0fPUlou_normal.png;;;;;"dnb_nl

";;3.919,9;1.176,8;;;;;;;;;;;;;23;;;175;19905;3155;109;;De Nederlandsche Bank maakt zich sterk voor financiële stabiliteit en draagt daarmee bij aan duurzame welvaart in Nederland.;Amsterdam, The Netherlands;http://t.co/eVMIt7LOoK;;24-3-2011 13:04;Open Twitter Page for This Person;https://twitter.com/dnb_nl;No;;;;;
abnamro;;;;;http://pbs.twimg.com/profile_images/1039127182210150400/Ab6OlyqL_normal.jpg;;;;;"abnamro

";;7.884,6;5.977,9;;;;;;;;;;;;;24;;;6506;76349;212469;7070;;"Volg ons voor nieuws over producten en diensten van ABN AMRO💚
Webcare staat voor je klaar op ma-vr van 8.00-21.00 en za-zo van 9.00-17.30.";Amsterdam;https://t.co/ROmIkKMxYh;;26-3-2007 08:00;Open Twitter Page for This Person;https://twitter.com/abnamro;No;;;;;
het_om;;;;;http://pbs.twimg.com/profile_images/935068666898649089/QCPGwopd_normal.jpg;;;;;"het_om

";;2.881,4;3.313,5;;;;;;;;;;;;;25;;;349;52844;8575;743;;Het centrale account van het OM laat zien wat het OM doet. Wij antwoorden van ma-vr 09:00-17:00, maar kunnen niet ingaan op individuele strafzaken.;Nederland;http://t.co/C2gUVemeU6;;20-1-2009 15:33;Open Twitter Page for This Person;https://twitter.com/het_om;No;;;;;
wbhoekstra;;;;;http://pbs.twimg.com/profile_images/1361803626084261889/1k9E1yJ6_normal.jpg;;;;;"wbhoekstra

";;7.507,5;5.133,1;;;;;;;;;;;;;26;;;98;51960;974;174;;Minister van @Financien | Lijsttrekker @cdavandaag | Persoonlijk kanaal (ondersteund door Financien #MinFin en CDA #TeamCDA);;https://t.co/1eIcwL3mNF;;17-10-2017 05:46;Open Twitter Page for This Person;https://twitter.com/wbhoekstra;No;;;;;
byliathroid;;;;;http://pbs.twimg.com/profile_images/1347830362920153089/H6E0UTR-_normal.jpg;;;;;"byliathroid

";;1.970,8;6.158,3;;;;;;;;;;;;;27;;;557;384;8136;35046;;🇳🇱 Dutch | Vader | Feyenoord | Stemt rechts | Cryptomunten (NLG) | Vrijheid van meningsuiting | #StemNederlandTerug;Rotterdam, Nederland;;;13-6-2020 07:02;Open Twitter Page for This Person;https://twitter.com/byliathroid;No;;;;;
jokierotterdam;;;;;http://pbs.twimg.com/profile_images/1387666743368290304/sGsg8fPg_normal.jpg;;;;;"jokierotterdam

";;5.241,9;7.456,2;;;;;;;;;;;;;28;;;3560;1576;15623;35583;;IK GA NIET IN DISCUSSIE MET COMPLOTDENKERS. O.a. geïnteresseerd in politiek, progressief/sociaal liberaal, nieuws, duurzaamheid, HR-zaken ◼️;Rotterdam, Zuid-Holland;;;23-6-2014 19:14;Open Twitter Page for This Person;https://twitter.com/jokierotterdam;No;;;;;
wonders_always;;;;;http://pbs.twimg.com/profile_images/1356144107983433730/Pm4ERzaO_normal.jpg;;;;;"wonders_always

";;3.895,7;2.852,6;;;;;;;;;;;;;29;;;4343;3338;39554;45056;;#FakeNews is een gevaar voor onze democratie. Verspreiders hiervan brengen onze vrijheid in gevaar. Laat ons land geen populistische heilstaat worden.;;;;28-9-2011 10:11;Open Twitter Page for This Person;https://twitter.com/wonders_always;No;;;;;
singlesignon;;;;;http://pbs.twimg.com/profile_images/1382782500100050949/aRpO5unA_normal.jpg;;;;;"singlesignon

@harryhol @willem_engel Damn dus
van die duizenden mensen die hier
reageren krijgt hij alleen van
mij een notificat… https://t.co/4X8AGnSw5o";;4.422,9;7.646,5;;;;;;;;;;;;;30;;;499;294;7467;3879;;Verwar je wat je vindt steeds met feiten en de realiteit? Zoek dan hulp, bijvoorbeeld bij je lokale GGZ. sterkte!;Amsterdam, The Netherlands;https://t.co/pDRMFxzqFQ;;26-3-2007 07:51;Open Twitter Page for This Person;https://twitter.com/singlesignon;Yes;;;;;
willem_engel;;;;;http://pbs.twimg.com/profile_images/1374027970944307202/YQwkpT1G_normal.jpg;;;;;"willem_engel

";;6.649,0;8.200,1;;;;;;;;;;;;;31;;;115;4289;1501;751;;Dance teacher & human rights activist & scientist;;;;25-7-2020 20:09;Open Twitter Page for This Person;https://twitter.com/willem_engel;No;;;;;
harryhol;;;;;http://pbs.twimg.com/profile_images/1377511232924749831/VsbrreMo_normal.jpg;;;;;"harryhol

";;8.583,2;5.233,6;;;;;;;;;;;;;32;;;998;6473;36429;17705;;Schrijver, journalist, stand-up comedian. Maakt video's. Haat zuurkool, houdt van Apple. Public speaker. Doneer: https://t.co/pNbRV4OwUK?amp;Netherlands;https://t.co/40qCxdZMGU;;18-5-2007 08:20;Open Twitter Page for This Person;https://twitter.com/harryhol;No;;;;;
rotterdam_rutu;;;;;http://pbs.twimg.com/profile_images/1302352280914722817/SDXOQCKZ_normal.jpg;;;;;"rotterdam_rutu

Of zijn we gewoon super kritisch
? #Gemeenschap #facebookisheilig
#we #wappie #leugens https://t.co/aQVsFMXcqk";;5.657,0;9.573,2;;;;;;;;;;;;;33;;;57;32;288;179;;Nuance waar polarisatie en populisme hoogtij vieren. Trotse bewoners van deze diverse en inclusieve stad. Wise up and Rise up!;Rotterdam, Nederland;https://t.co/gTPlG9j4cP;;3-4-2019 22:44;Open Twitter Page for This Person;https://twitter.com/rotterdam_rutu;Yes;;;;;
tinuzsz;;;;;http://pbs.twimg.com/profile_images/1364532128856354817/fvMfArpO_normal.jpg;;;;;"tinuzsz

@chris52016855 @NDikkeboom Begrijpend
lezen zat niet in je vakkenpakket?
Kennis op het gebied van grondrechten
en d… https://t.co/lRcNzDFh6F";;3.628,3;7.047,6;;;;;;;;;;;;;34;;;2089;792;28625;61426;;;Whocares;;;25-12-2011 15:17;Open Twitter Page for This Person;https://twitter.com/tinuzsz;Yes;;;;;
bnr;;;;;http://pbs.twimg.com/profile_images/1091224048992960513/YYQ0Ge7Q_normal.jpg;;;;;"bnr

";;1.415,8;6.905,2;;;;;;;;;;;;;35;;;7944;122750;135912;3922;;"Iedere dag het belangrijkste nieuws, interviews en columns.
#podcast - #OnDemand - #Live #nieuws - 100.1FM & DAB+
#ikhoorbijBNR, luister live!";Nederland;https://t.co/plrlxazanG;;10-12-2008 14:32;Open Twitter Page for This Person;https://twitter.com/bnr;No;;;;;
rivm_vdissel;;;;;http://pbs.twimg.com/profile_images/378800000333845883/a9a6734105e87879f6ebd673c2436367_normal.jpeg;;;;;"rivm_vdissel

";;6.944,9;6.903,4;;;;;;;;;;;;;36;;;5;2406;64;0;;Prof. dr. Jaap van Dissel is directeur van het Centrum Infectieziektebestrijding van het RIVM en is als hoogleraar verbonden aan het LUMC;;http://t.co/aD68A7PgPN;;20-8-2013 07:08;Open Twitter Page for This Person;https://twitter.com/rivm_vdissel;No;;;;;
robelens;;;;;http://pbs.twimg.com/profile_images/574536304383361024/VPp9Pu8z_normal.jpeg;;;;;"robelens

";;7.084,8;2.241,4;;;;;;;;;;;;;37;;;55;87;31;0;;;;;;28-10-2014 12:17;Open Twitter Page for This Person;https://twitter.com/robelens;No;;;;;
waanz1n;;;;;http://pbs.twimg.com/profile_images/1364863037191180290/NvqGlzIu_normal.jpg;;;;;"waanz1n

";;7.878,1;7.847,7;;;;;;;;;;;;;38;;;434;288;4496;7891;;💉🏳️‍🌈deugmens - #PTC @paniektrutclub - ICT - Geek - Hij lvl 43 - Voor haar: 🌮❤️🍰 - You and I are consequenses of Star deaths - 🦖 Mainframes still Rule 🦖;op minimaal 1,5 m afstand;;;27-4-2011 18:37;Open Twitter Page for This Person;https://twitter.com/waanz1n;No;;;;;
siccovanhoegee;;;;;http://pbs.twimg.com/profile_images/1805463772/Sicco_TellUs_normal.jpg;;;;;"siccovanhoegee

";;1.683,0;8.185,7;;;;;;;;;;;;;39;;;2521;1660;42694;75547;;;Rotterdam;;;1-7-2009 18:54;Open Twitter Page for This Person;https://twitter.com/siccovanhoegee;No;;;;;
maryhellebreker;;;;;http://pbs.twimg.com/profile_images/1233035475029504000/l49iV-zh_normal.jpg;;;;;"maryhellebreker

";;4.493,9;1.514,8;;;;;;;;;;;;;40;;;3033;2221;133339;7506;;HSP/sociaal/natuur -gevoelsmens Grootste valkuil: onrecht, hooggevoelig met hobby politiek, ergens klopt er hier iets niet 🤔😇;;;;14-6-2011 16:42;Open Twitter Page for This Person;https://twitter.com/maryhellebreker;No;;;;;
joopdelfijn;;;;;http://pbs.twimg.com/profile_images/1357719891005083651/0bmaEa5q_normal.jpg;;;;;"joopdelfijn

";;4.201,2;3.121,3;;;;;;;;;;;;;41;;;401;157;2569;6288;;Business analyst @ Visma Raet, computer scientist, traveller (before Covid19 & climatecrisis), amateur photographer, promoting social justice & solidarity;Netherlands;http://t.co/9XspUCVqZR;;27-1-2011 06:48;Open Twitter Page for This Person;https://twitter.com/joopdelfijn;No;;;;;
ax0_io;;;;;http://pbs.twimg.com/profile_images/1349656338041864193/-36Q5bZ7_normal.jpg;;;;;"ax0_io

";;8.583,2;8.664,6;;;;;;;;;;;;;42;;;1361;1014;221;17714;;"Corporate Risk & crisis consultancy en management,Risk control awareness strategieën,  AVG/GDPR compliancy info@ax0.io 
+31 629 36 1218 
+31 628 83 9571";3068GC 85 Rotterdam NL;https://t.co/JZjHpTbYZf;;18-11-2009 04:11;Open Twitter Page for This Person;https://twitter.com/ax0_io;No;;;;;
chris52016855;;;;;http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;;;;;"chris52016855

";;4.172,7;7.076,6;;;;;;;;;;;;;43;;;5;0;195;14;;Politics;Hoorn, Nederland;;;23-1-2021 20:07;Open Twitter Page for This Person;https://twitter.com/chris52016855;No;;;;;
markrutte;;;;;http://pbs.twimg.com/profile_images/1363021983198380032/2BmwrPWr_normal.jpg;;;;;"markrutte

";;1.415,8;5.470,1;;;;;;;;;;;;;44;;;1;152594;75;1;;Samen naar de eindstreep. En verder. Lees mijn brief aan alle Nederlanders in de link.;Den Haag, Nederland;https://t.co/bXLdAzv2Pq;;12-10-2008 15:24;Open Twitter Page for This Person;https://twitter.com/markrutte;No;;;;;
ndikkeboom;;;;;http://pbs.twimg.com/profile_images/760360966521556992/chEdB0LG_normal.jpg;;;;;"ndikkeboom

";;4.531,2;5.524,8;;;;;;;;;;;;;45;;;262;2510;10885;31880;;Allergisch voor onzin en onrecht;;;;11-1-2014 19:26;Open Twitter Page for This Person;https://twitter.com/ndikkeboom;No;;;;;
hannekehier;;;;;http://pbs.twimg.com/profile_images/1357404721963819010/CMeNV5qa_normal.jpg;;;;;"hannekehier

@Pijnappelklier @Life_s_about Mensen,
reageer niet op deze achterlijke
anonieme trol die zich ""pijnappelklier""
noem… https://t.co/fYs3LWc90l";;4.577,6;8.884,8;;;;;;;;;;;;;46;;;158;73;545;2251;;Gecontroleerd' verspreiden van Covid-19 is tegen de mensenrechten.;Nederland;;;27-12-2020 22:31;Open Twitter Page for This Person;https://twitter.com/hannekehier;Yes;;;;;
life_s_about;;;;;http://pbs.twimg.com/profile_images/1360679100055252995/OW3bXjnW_normal.jpg;;;;;"life_s_about

";;5.408,8;2.575,6;;;;;;;;;;;;;47;;;899;2001;27482;35235;;35 y/o✖️Food- en Lifestyleblogger✖️Lupus en APS✖️hartpatiënt ✖️Cardio vpk✖️Mama van 't mooiste meisje✖️Boeddhisme 🌎🌺 ✖️IC survivor✖️💉;Netherlands;https://t.co/ZFZGa4XLCe;;7-10-2010 11:22;Open Twitter Page for This Person;https://twitter.com/life_s_about;No;;;;;
pijnappelklier;;;;;http://pbs.twimg.com/profile_images/1384063541590646784/kNUjFExC_normal.jpg;;;;;"pijnappelklier

";;6.490,7;3.132,6;;;;;;;;;;;;;48;;;0;21;1175;398;;;;;;7-9-2020 14:29;Open Twitter Page for This Person;https://twitter.com/pijnappelklier;No;;;;;
haastrechtpvan;;;;;http://pbs.twimg.com/profile_images/1197289345486663680/86N5eTgz_normal.jpg;;;;;"haastrechtpvan

Lees de comments voor een vermakelijke
avond! #wappie https://t.co/rQbZRSQo7o";;2.477,8;9.712,2;;;;;;;;;;;;;49;;;280;119;2328;5433;;Fotograaf;Utrecht, Nederland;https://t.co/7kfWxKYm1Q;;31-8-2010 20:05;Open Twitter Page for This Person;https://twitter.com/haastrechtpvan;Yes;;;;;
justicedone21;;;;;http://pbs.twimg.com/profile_images/1368833377344847874/lYOMxBrf_normal.jpg;;;;;"justicedone21

Het verschil tussen de tunnelvisie
van het schaap en de wijdse blik
van de leeuw, ofwel het verschil
tussen waan en… https://t.co/xfoRKYftIc";;8.415,7;7.730,5;;;;;;;;;;;;;50;;;849;2415;17783;9694;;...and the clocks were striking thirteen. Freedom is the freedom to say that 2 + 2 make 4. If that is granted, all else follows. I am a true thought-criminal‼️;Oceania;https://t.co/HuaV7ARvEr;;11-2-2011 07:45;Open Twitter Page for This Person;https://twitter.com/justicedone21;Yes;;;;;
melissanaber;;;;;http://pbs.twimg.com/profile_images/593514627792666625/Ycf3UBgS_normal.jpg;;;;;"melissanaber

https://t.co/TbgXI5vVEu Eén team,
één taak! Zo zou het moeten zijn,
#solidariteit met zn allen! Geen
#wappie gejan… https://t.co/NEv3uxklBH";;8.583,2;5.280,6;;;;;;;;;;;;;51;;;309;75;741;99;;Selfmade, Social HIPHOP Educator, thesocialjam.nl, Hiphop birthday parties, spreading empowerment, teaching trough creativity. Change starts with you!;Amsterdam;http://t.co/3vftAqoHyc;;22-3-2011 20:00;Open Twitter Page for This Person;https://twitter.com/melissanaber;Yes;;;;;
lisannehond;;;;;http://pbs.twimg.com/profile_images/982289226933948417/JdProcPv_normal.jpg;;;;;"lisannehond

RT @JacquelineWxxx: @MichaelvdGalien
Noem mij maar een #wappie ik vind
het een geuzennaam";;2.286,4;8.218,1;;;;;;;;;;;;;52;;;1149;1364;89176;151565;;;Nederland;;;9-11-2012 11:41;Open Twitter Page for This Person;https://twitter.com/lisannehond;Yes;;;;;
michaelvdgalien;;;;;http://pbs.twimg.com/profile_images/1215251048530694145/3uZZNdV-_normal.jpg;;;;;"michaelvdgalien

";;1.718,4;6.471,7;;;;;;;;;;;;;53;;;4658;6549;12707;7425;;Libertariër | Sloop 't mediakartel | Fiat justitia ruat caelum | @DDStandaard | Wie vrijheid opoffert voor veiligheid is beide niet waard |;;https://t.co/LXtk3h2qB6;;9-1-2020 12:30;Open Twitter Page for This Person;https://twitter.com/michaelvdgalien;No;;;;;
jacquelinewxxx;;;;;http://pbs.twimg.com/profile_images/1368294095291088901/_h87PTdE_normal.jpg;;;;;"jacquelinewxxx

RT @DivaDivawendy: #wappie https://t.co/UKn8DGfrYN
People believe the msm and don't
even do their research, not people
dying of covid-19 p…";;4.758,4;6.726,0;;;;;;;;;;;;;54;;;12582;11459;484768;1953;;"Elect queen - Amsterdam -vind vvmu heel belangrijk Zelfde naam Parler Gab JacquelineWxxx
Vak : beurs gerelateerde producten #aandelen #opties #derivaten";Amsterdam;;;9-6-2010 12:24;Open Twitter Page for This Person;https://twitter.com/jacquelinewxxx;Yes;;;;;
avonddame;;;;;http://pbs.twimg.com/profile_images/575359553312854016/YHZtCvU8_normal.jpeg;;;;;"avonddame

Goed, mijn schoonmaakster is dus
een #Wappie 🤡 😂";;6.948,1;6.991,9;;;;;;;;;;;;;55;;;844;1154;140546;11827;;Altijd onderweg.;;;;8-2-2011 21:05;Open Twitter Page for This Person;https://twitter.com/avonddame;Yes;;;;;
piekwadraat;;;;;http://pbs.twimg.com/profile_images/1121140053672112128/8N5CGJAT_normal.jpg;;;;;"piekwadraat

@FionaZwart @anja_36 #wappie";;1.415,8;8.002,4;;;;;;;;;;;;;56;;;823;222;3684;1031;;green dreamer;;;;24-4-2019 19:52;Open Twitter Page for This Person;https://twitter.com/piekwadraat;Yes;;;;;
anja_36;;;;;http://pbs.twimg.com/profile_images/1346224546328825856/J_W7SZQa_normal.jpg;;;;;"anja_36

";;2.443,1;5.921,5;;;;;;;;;;;;;57;;;3186;2120;31070;12688;;🚜🚜🚜😜🚜🚜🚜;;;;22-12-2011 23:23;Open Twitter Page for This Person;https://twitter.com/anja_36;No;;;;;
fionazwart;;;;;http://pbs.twimg.com/profile_images/1352249435800162307/biZv9R3z_normal.jpg;;;;;"fionazwart

";;6.924,2;8.390,8;;;;;;;;;;;;;58;;;5092;9487;3450;2407;;Schrijft, onderneemt, interviewt en verwondert. Onderzoekt graag de voorgeschreven werkelijkheid. Wars van hokjes. Vol van echtheid en vrijheid.;;https://t.co/gPR8wx1eqn;;6-9-2010 20:57;Open Twitter Page for This Person;https://twitter.com/fionazwart;No;;;;;
dampt2015;;;;;http://pbs.twimg.com/profile_images/1369328811540701238/PD9T2bZ9_normal.jpg;;;;;"dampt2015

@MHendriksma @rivm Ja heel duidelijk
antwoord. OMG een schaap die nog
ontzettend geloofd in het #RIVM
met zijn acht… https://t.co/2Ugl22gHuQ";;3.695,8;2.463,7;;;;;;;;;;;;;59;;;531;736;81246;61949;;Hobby: Fotograferen 📷;Zuid-Holland, Nederland;;;26-1-2010 16:29;Open Twitter Page for This Person;https://twitter.com/dampt2015;Yes;;;;;
