;Visual Properties;;;;;;Labels;;;;Layout;;;;;;Graph Metrics;;;;;;;;;Do Not Edit;;Other Columns;;;;;;;;;;;;;;;;;;
Vertex;Color;Shape;Size;Opacity;Image File;Visibility;Label;Label Fill Color;Label Position;Tooltip;Layout Order;X;Y;Locked?;Polar R;Polar Angle;Degree;In-Degree;Out-Degree;Betweenness Centrality;Closeness Centrality;Eigenvector Centrality;PageRank;Clustering Coefficient;Reciprocated Vertex Pair Ratio;ID;Dynamic Filter;Add Your Own Columns Here;Followed;Followers;Tweets;Favorites;Time Zone UTC Offset (Seconds);Description;Location;Web;Time Zone;Joined Twitter Date (UTC);Custom Menu Item Text;Custom Menu Item Action;Tweeted Search Term?;;;;;
tintie4;;;;;http://pbs.twimg.com/profile_images/1140704578452615168/Tp_oyXQv_normal.jpg;;;;;"tintie4

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;2045;3101;368181;316896;;words to live by: “If your mind dislike anything, obey it.”Horatio to Hamlet.;;;;24-1-2014 03:50;Open Twitter Page for This Person;https://twitter.com/tintie4;Yes;;;;;
wannacub;;;;;http://pbs.twimg.com/profile_images/1385479545080274947/7rXANzvz_normal.jpg;;;;;"wannacub

RT @DJPaulV: #MarjorieTaylorGreene
#QAnon #Nutbag #ShitEater https://t.co/eO3ribXx47";;;;;;;;;;;;;;;;;;;591;992;45491;263661;;"Welcome. I complain about my life, but I won't do anything to change things.

40, married, 🏳️‍🌈, very into sewing.

$wannacub He/Him/His";Long Beach, California;;;5-7-2007 01:51;Open Twitter Page for This Person;https://twitter.com/wannacub;Yes;;;;;
djpaulv;;;;;http://pbs.twimg.com/profile_images/1385701178017648640/cZjKotcj_normal.jpg;;;;;"djpaulv

#MarjorieTaylorGreene #QAnon #Nutbag
#ShitEater https://t.co/eO3ribXx47";;;;;;;;;;;;;;;;;;;1810;2999;38243;11494;;★ Club & radio DJ since '81 ★ Blogger, book author, #pittie lover, #Resistance fighter! ★ Mixes: https://t.co/icd4QNR2zv ★ #BlackLivesMatter #VoteBlue #LGBTQ ★;;https://t.co/vUR8FjAEnc;;23-10-2010 08:48;Open Twitter Page for This Person;https://twitter.com/djpaulv;Yes;;;;;
thegentyyc;;;;;http://pbs.twimg.com/profile_images/1308138143527235584/wAtlneV-_normal.jpg;;;;;"thegentyyc

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;7089;8058;110140;109;;#ClimateCrisis vs the #AgeOfTheBozos. #ClimateWarrior at large. I #StandBehindTheScience & so should you. Be better. Start today.;Calgary;https://t.co/xo3ToJVb0E;;24-8-2010 03:46;Open Twitter Page for This Person;https://twitter.com/thegentyyc;Yes;;;;;
thewinkysloth;;;;;http://pbs.twimg.com/profile_images/1360365299153989639/8s8sMHS8_normal.jpg;;;;;"thewinkysloth

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;300;63;6922;6544;;Took a 4 year break, came back and HOLY SHIT Trump gone! Yay!;Ottawa, Ontario;;;7-1-2021 21:24;Open Twitter Page for This Person;https://twitter.com/thewinkysloth;Yes;;;;;
faralynpadilla;;;;;http://pbs.twimg.com/profile_images/1170827024564228096/RxC4lds5_normal.jpg;;;;;"faralynpadilla

RT @DJPaulV: #MarjorieTaylorGreene
#QAnon #Nutbag #ShitEater https://t.co/eO3ribXx47";;;;;;;;;;;;;;;;;;;4995;3119;79877;90902;;Author, Vendor, Baker, BBQ sauce maker, daily dinner hosttess, Daughter, Mom, Sister. And all around stinker booger butt funny gal. Instagram: box.thejewelry;Moreno Valley, CA;https://t.co/BmIv2KfcIV;;8-9-2019 22:30;Open Twitter Page for This Person;https://twitter.com/faralynpadilla;Yes;;;;;
anthea_jh;;;;;http://pbs.twimg.com/profile_images/1271225971463663616/AJnyYCb7_normal.jpg;;;;;"anthea_jh

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;240;149;49071;65262;;;Here;;;25-3-2012 22:21;Open Twitter Page for This Person;https://twitter.com/anthea_jh;Yes;;;;;
teff1275;;;;;http://pbs.twimg.com/profile_images/1374772352614076420/LvvFOnDH_normal.jpg;;;;;"teff1275

RT @EricNaulleau: Nous sommes le
2 mai 2021 et @JoeBiden n’a toujours
pas été arrêté par l’armée contrairement
à ce qu’annonçaient tous les…";;;;;;;;;;;;;;;;;;;1614;1645;55522;56133;;"Anti fachos rouges bruns verts et jaunes
je vaccine contre le ""conardo virus""  
  souche melenchonium. 
Je soutiens les FDO avec une préférence pour les moblos.";France;;;9-11-2018 20:06;Open Twitter Page for This Person;https://twitter.com/teff1275;Yes;;;;;
elkebabiuk;;;;;http://pbs.twimg.com/profile_images/1240482667/1-Elke1_normal.jpg;;;;;"elkebabiuk

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;2075;3107;57383;166962;;Loves Attitude with Gratitude! Hates clickbait journalism & gotcha politics.;Calgary AB & Okanagan Falls BC;https://t.co/Q7gWjTLOoM;;1-11-2009 03:10;Open Twitter Page for This Person;https://twitter.com/elkebabiuk;Yes;;;;;
joannecangal;;;;;http://pbs.twimg.com/profile_images/936105674303406081/Q2bc-EaQ_normal.jpg;;;;;"joannecangal

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;7151;6502;856480;822168;;It's later than we think. Please no lists!!;Toronto;;;15-9-2012 03:11;Open Twitter Page for This Person;https://twitter.com/joannecangal;Yes;;;;;
juliuskhan10;;;;;http://pbs.twimg.com/profile_images/1347302404300136450/WmoYZhhs_normal.jpg;;;;;"juliuskhan10

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;542;128;5998;13162;;Addicted to #cdnpoli;Toronto, Ontario;;;7-1-2021 20:01;Open Twitter Page for This Person;https://twitter.com/juliuskhan10;Yes;;;;;
janet63388900;;;;;http://pbs.twimg.com/profile_images/1283764612446318593/soZ64La1_normal.jpg;;;;;"janet63388900

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;298;139;2626;37062;;;British Columbia ;;;16-7-2020 14:03;Open Twitter Page for This Person;https://twitter.com/janet63388900;Yes;;;;;
drwavesportcd1;;;;;http://pbs.twimg.com/profile_images/378800000241835524/841bff936a0e07c7559306197655e7bf_normal.jpeg;;;;;"drwavesportcd1

@donie @Acosta WADR, That’s About
‘White.’ Sooo... SEVENTY PERCENT
Of #GOP #Republicans Are #QAnon
#QUACKERS… https://t.co/bPniDIuBcP";;;;;;;;;;;;;;;;;;;5005;3957;448498;332066;;Addicted to News, Music, Cooking, Gardens, Outdoors, Tennis, Politics. 🖕🏼T, @GOP, @NRA #Putin‼️ 💙 #Democrats #Resist #LGBTQ FAMILIES #Veterans #USA #Biden;USA;;;4-8-2013 21:07;Open Twitter Page for This Person;https://twitter.com/drwavesportcd1;Yes;;;;;
acosta;;;;;http://pbs.twimg.com/profile_images/1374193644702433290/dhkx2_RV_normal.jpg;;;;;"acosta

";;;;;;;;;;;;;;;;;;;4779;2272340;37896;15248;;CNN Anchor Saturday 3-6p and Sunday 4-6p eastern, Chief Domestic Correspondent. Author of NYT Bestseller “The Enemy of the People.” I believe in #realnews;Washington, DC;https://t.co/dYU3pW09mg;;4-3-2009 13:48;Open Twitter Page for This Person;https://twitter.com/acosta;No;;;;;
donie;;;;;http://pbs.twimg.com/profile_images/1365146203818774528/c702rU5F_normal.jpg;;;;;"donie

";;;;;;;;;;;;;;;;;;;7449;222886;60322;35244;;CNN Correspondent;New York City;https://t.co/CRPq0RLw8W;;26-12-2010 17:40;Open Twitter Page for This Person;https://twitter.com/donie;No;;;;;
afromindset;;;;;http://pbs.twimg.com/profile_images/1310287580114481152/GSUxkZvX_normal.jpg;;;;;"afromindset

1) What does the #Republican #MAGA
#QAnon Party have to offer besides
fear, resentment, hatred and racism?
2) Why… https://t.co/s9ILOXnV14";;;;;;;;;;;;;;;;;;;12317;12314;44168;23532;;Born and raised in Lone Star State. Retired Navy Combat Veteran. @DallasCowboys fanatic. @ULaVerne Alum. Partaking in “Good Trouble” until the war is won. #FBR;Texan living in SoCal;https://t.co/fjmoKDkiPA;;13-5-2009 22:35;Open Twitter Page for This Person;https://twitter.com/afromindset;Yes;;;;;
ghostcatbce;;;;;http://pbs.twimg.com/profile_images/1328118200618381312/Xd2ufc3o_normal.jpg;;;;;"ghostcatbce

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;2958;1875;337103;95885;;"#Humanist #Pagan #Geek #Nerd
Fan of #TheExpanse, #Dominion #TheWitcher
The #Disabled have rights too!
More than just a ghost in the machine.";Calgary Alberta Canada;https://t.co/hiPTICP7oc;;15-11-2011 23:55;Open Twitter Page for This Person;https://twitter.com/ghostcatbce;Yes;;;;;
josefharper00;;;;;http://pbs.twimg.com/profile_images/1327994065086976004/jYeR2-sJ_normal.jpg;;;;;"josefharper00

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;933;584;46070;33319;;36yr Veteran CAF, Proud Newfie and Liberal, Defender of the truth, Nova Scotia my beautiful home now;;;;21-2-2015 22:29;Open Twitter Page for This Person;https://twitter.com/josefharper00;Yes;;;;;
north_resists;;;;;http://pbs.twimg.com/profile_images/1216239224346644480/0REAlhKN_normal.png;;;;;"north_resists

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;3172;4777;160248;143179;;Father, Husband, Reader, Gamer, Cook, Tech, Streamer. Just because I clicked like, doesn't mean I liked it.;Edmonton, Alberta;;;4-7-2013 15:00;Open Twitter Page for This Person;https://twitter.com/north_resists;Yes;;;;;
storm14nu;;;;;http://pbs.twimg.com/profile_images/1352805216786272260/wsLIi6Vq_normal.jpg;;;;;"storm14nu

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;4745;4786;13258;17873;;Canadian 🇨🇦 Libéral-minded, critical thinker, progressive, fiscally responsible, dog daddy 🐶 Current events & occasionally giving my opinion! #LGBTQ2+ #BLM;Toronto, Ontario;;;29-12-2017 13:31;Open Twitter Page for This Person;https://twitter.com/storm14nu;Yes;;;;;
loriisepic;;;;;http://pbs.twimg.com/profile_images/1061335891212349440/IGGzBd4n_normal.jpg;;;;;"loriisepic

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;711;431;39409;94064;;Stay gold, Ponyboy.;Toronto, Ontario;;;2-12-2017 01:26;Open Twitter Page for This Person;https://twitter.com/loriisepic;Yes;;;;;
astorgoodwin;;;;;http://pbs.twimg.com/profile_images/1061659965667110913/B-3qf4Et_normal.jpg;;;;;"astorgoodwin

I say let the Republicans run all
of the devisive, extermist candidates
they want to. 👇🏾#terrorism #violence…
https://t.co/CGlFKC7ZhS";;;;;;;;;;;;;;;;;;;4999;4190;79450;82818;;Hello, I am a center Left kind of guy. Ex-Navy man. LGBTQ community is my community. I Love our democracy  #RESIST Authoritarianism;Ridgeway, South Carolina;;;12-9-2011 16:53;Open Twitter Page for This Person;https://twitter.com/astorgoodwin;Yes;;;;;
pdm76pdm;;;;;http://pbs.twimg.com/profile_images/1132486432554127362/5pS4-QJH_normal.jpg;;;;;"pdm76pdm

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;266;213;24702;73477;;;Ontario;;;10-10-2009 23:20;Open Twitter Page for This Person;https://twitter.com/pdm76pdm;Yes;;;;;
mdevk;;;;;http://pbs.twimg.com/profile_images/1159010096292253697/vGMZO0PG_normal.jpg;;;;;"mdevk

RT @rudybouma: Baudet's bron is
een #QAnon-aanhangster die gelooft
in een satanische, pedofiele, bloeddrinkende
elite. Ze noemt ook Obama e…";;;;;;;;;;;;;;;;;;;86;189;6992;9466;;boekenwurm - muziekliefhebber - moeder van twee mooie dochters - docente Nederlands, bezorgd om de staat van ons onderwijs;Deventer, Nederland;;;5-3-2012 17:53;Open Twitter Page for This Person;https://twitter.com/mdevk;Yes;;;;;
panich52;;;;;http://pbs.twimg.com/profile_images/1352010625824776198/-OhmFb-w_normal.jpg;;;;;"panich52

#QAnon #seditionist #insurrection
https://t.co/2IbEg4xlqr";;;;;;;;;;;;;;;;;;;3377;2704;128256;7908;;Displaced ancestral WV Hillbilly, artist, old-time liberal—emphasis on liberty. Civil rights too imp't to ignore! Go #Steelers & WVU! #MAGAbyvotingBLUE;SW PA;https://t.co/5uGTyVxBpd;;25-8-2011 22:56;Open Twitter Page for This Person;https://twitter.com/panich52;Yes;;;;;
maddow;;;;;http://pbs.twimg.com/profile_images/59437078/icon-200x200_normal.jpg;;;;;"maddow

";;;;;;;;;;;;;;;;;;;4289;10630006;18111;27;;"I see political people...
(Retweets do not imply endorsement.)";New York, NY USA;http://t.co/KtNvfeNDMl;;4-9-2008 15:02;Open Twitter Page for This Person;https://twitter.com/maddow;No;;;;;
buchart;;;;;http://pbs.twimg.com/profile_images/1381784254913282051/N11wytZ7_normal.jpg;;;;;"buchart

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;499;193;7261;17093;;Info. Ninja (BA, MLIS) Gov't, energy & now education. ♥️ the printed word & a closet weather nerd. Tweets my own & retws not alway agreement She/her🍎🍀;Alberta;;;24-4-2012 02:41;Open Twitter Page for This Person;https://twitter.com/buchart;Yes;;;;;
americanctri;;;;;http://pbs.twimg.com/profile_images/1386768663982886919/9gzcAnlE_normal.jpg;;;;;"americanctri

ACTRI recently released educational
video: ""#QAnon, Reach Belief and
Effect in Action"" https://t.co/ipi9fjWGIh
https://t.co/E3wmOgiSMi";;;;;;;;;;;;;;;;;;;1087;306;868;435;;A complementary research resource for global and domestic CT & CVE partners to move beyond traditional solutions through the power of quality data;Massachusetts ;https://t.co/3LQINAC0Mh;;31-1-2020 16:30;Open Twitter Page for This Person;https://twitter.com/americanctri;Yes;;;;;
jamain62589705;;;;;http://pbs.twimg.com/profile_images/1250498090936778759/JIlP_bmJ_normal.jpg;;;;;"jamain62589705

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;266;164;8816;22064;;My opinions are my own.  Canadian. Liberal.;;;;30-9-2017 19:17;Open Twitter Page for This Person;https://twitter.com/jamain62589705;Yes;;;;;
dmcleoddonald;;;;;http://pbs.twimg.com/profile_images/1236373548199038976/okeDqhuV_normal.jpg;;;;;"dmcleoddonald

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;248;725;48035;44181;;Metcon. Founder Brampton Focus Community Media Inc. Political and Social advocate. Proud Vet. C.A.F...2 RCA/1 RCHA;Brampton, Ontario;;;18-3-2015 20:52;Open Twitter Page for This Person;https://twitter.com/dmcleoddonald;Yes;;;;;
canteach;;;;;http://pbs.twimg.com/profile_images/1385321111861202947/SHUOiGBX_normal.jpg;;;;;"canteach

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;4928;3990;135126;92375;;Retired teacher. Mom of 2 and Grammy of 3. I block MAGAs, QAnons, Trumpers, anti-maskers and racists. They have freedom of speech. I have freedom of listening.;Territory of the Mississaugas of the New Credit;;;19-9-2008 01:02;Open Twitter Page for This Person;https://twitter.com/canteach;Yes;;;;;
cmdott;;;;;http://pbs.twimg.com/profile_images/1334229544534937603/6lwrGqAy_normal.jpg;;;;;"cmdott

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;310;641;140223;232430;;;;;;26-5-2014 16:38;Open Twitter Page for This Person;https://twitter.com/cmdott;Yes;;;;;
diamondnill1;;;;;http://pbs.twimg.com/profile_images/808177612296097792/UqXr627Q_normal.jpg;;;;;"diamondnill1

RT @AmandiOnAir: Amen. Kinda like
#QAnon too, huh?";;;;;;;;;;;;;;;;;;;2094;1798;124902;55149;;My passions are college football, politics, wildlife, animal welfare & climate change. Not necessarily in that order.;;;;31-1-2013 02:20;Open Twitter Page for This Person;https://twitter.com/diamondnill1;Yes;;;;;
amandionair;;;;;http://pbs.twimg.com/profile_images/1328440063039074309/6kBIEjYI_normal.jpg;;;;;"amandionair

";;;;;;;;;;;;;;;;;;;472;94968;34125;31698;;Our long national nightmare is over! Believe in family, freedom, democracy and @TheBeatles. B&A Pres, @MSNBC analyst, @univmiami Prof + #StrangeDaysPodcast host;Miami, FL;https://t.co/utCTk2oOm7;;12-2-2016 01:56;Open Twitter Page for This Person;https://twitter.com/amandionair;No;;;;;
elizabe29599604;;;;;http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;;;;;"elizabe29599604

RT @BombshellDAILY: EXTREMIST CANDIDATES
MAY HAND 2022 TO THE DEMOCRATS
Sedition, disregard for voters,
and sheer delusion define post-trum…";;;;;;;;;;;;;;;;;;;1999;923;157875;148966;;;;;;27-1-2017 17:18;Open Twitter Page for This Person;https://twitter.com/elizabe29599604;Yes;;;;;
bombshelldaily;;;;;http://pbs.twimg.com/profile_images/1054022306043957249/rN7rsSiC_normal.jpg;;;;;"bombshelldaily

RT @BombshellDAILY: LIE AFTER LIE
AFTER LIE Speaking out against
misinformation continues to be
the biggest daily story, of the
post-trump…";;;;;;;;;;;;;;;;;;;77091;75564;32911;72608;;#RESISTANCE HEADLINES: Journalist🔸Integrity🔸Service🔸Links🔸Tolerance🔸Community🔸Activism🔸Gratitude🔸#FBR;PLEASE, donate if you're able:;https://t.co/Qy0nGYrnuE;;29-9-2018 09:58;Open Twitter Page for This Person;https://twitter.com/bombshelldaily;Yes;;;;;
ticknyree;;;;;http://pbs.twimg.com/profile_images/1388862001372438528/yZhKwxoc_normal.jpg;;;;;"ticknyree

Q sent me. Next weekend is Mother’s
Day. #Qanon https://t.co/MV6B43Rkiw";;;;;;;;;;;;;;;;;;;203;201;872;11207;;he he he YUP;;;;24-10-2015 04:24;Open Twitter Page for This Person;https://twitter.com/ticknyree;Yes;;;;;
3rdtimewalter;;;;;http://pbs.twimg.com/profile_images/1315791562681581568/qsjohDsA_normal.jpg;;;;;"3rdtimewalter

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;1796;3289;74111;386954;;trying to stay sane in this insane world;Canada;;;20-11-2016 13:14;Open Twitter Page for This Person;https://twitter.com/3rdtimewalter;Yes;;;;;
joelechirurgien;;;;;http://pbs.twimg.com/profile_images/1258462412082155527/HI2Siyh2_normal.jpg;;;;;"joelechirurgien

RT @EricNaulleau: Nous sommes le
2 mai 2021 et @JoeBiden n’a toujours
pas été arrêté par l’armée contrairement
à ce qu’annonçaient tous les…";;;;;;;;;;;;;;;;;;;1707;1021;35455;1180;;Ne travaille qu’au scalpel :-) #teampainsauchocolat;Notre Dame des Landes;;;17-4-2019 17:16;Open Twitter Page for This Person;https://twitter.com/joelechirurgien;Yes;;;;;
sharpe_grant;;;;;http://pbs.twimg.com/profile_images/1276957879107387392/nArSgXVh_normal.jpg;;;;;"sharpe_grant

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;205;176;13206;27790;;My Heroes Have Always Been Cowboys;British Columbia;;;31-1-2014 00:33;Open Twitter Page for This Person;https://twitter.com/sharpe_grant;Yes;;;;;
henhokie;;;;;http://pbs.twimg.com/profile_images/1273002218300547075/yK7WS_Id_normal.jpg;;;;;"henhokie

#Disinformation is probably the
most pressing threat in America
today. The second most pressing
threat is… https://t.co/NnFKrkiGh2";;;;;;;;;;;;;;;;;;;4217;630;26148;66097;;"America 2020:                                            🇺🇸 on 🔥🧨💣🌪☄️🦠 
Brought to you by Putin. 
Starring Donald Trump. 
Executed by the Republican Party.";Virginia 🌼;https://t.co/V0W1Ylnr6Q;;25-11-2013 21:22;Open Twitter Page for This Person;https://twitter.com/henhokie;Yes;;;;;
musingsbyshe;;;;;http://pbs.twimg.com/profile_images/1194281258001534976/sfHcWwuA_normal.jpg;;;;;"musingsbyshe

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;2880;1891;266974;275248;;"The heart of a woman is between her backbone & her tears.
COURAGE is FEAR that's said its PRAYERS.
NO WALTS!

NO LISTS PLEASE.";Toronto, Ontario;;;18-11-2012 23:35;Open Twitter Page for This Person;https://twitter.com/musingsbyshe;Yes;;;;;
louisa_faux;;;;;http://pbs.twimg.com/profile_images/1213522780198539264/sVavqkJG_normal.jpg;;;;;"louisa_faux

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;3689;2296;314474;56007;;"I'm Canadian. I love my country. I support Justin Trudeau. 

PLEASE, PLEASE always be kind to animals.

#WEARADAMNMASK";Venus;;;10-10-2009 05:38;Open Twitter Page for This Person;https://twitter.com/louisa_faux;Yes;;;;;
l_janse;;;;;http://pbs.twimg.com/profile_images/980202669179469824/dUKzhS76_normal.jpg;;;;;"l_janse

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;9442;8594;32829;148505;;"🇨🇦 Painter of 4'x15' tryptic/mural in the Empress, one of my earlier works. 
(Former RN Neuroscience Rehab Stroke/Head Injury Unit.)";Victoria, BC;;;19-1-2013 17:45;Open Twitter Page for This Person;https://twitter.com/l_janse;Yes;;;;;
erikaannemills;;;;;http://pbs.twimg.com/profile_images/1323418114093174785/Cxhin4bD_normal.jpg;;;;;"erikaannemills

It feels like ministers need to
know a little bit about EVERYTHING
these days #climatechange #racism
#vaccines… https://t.co/f9ntGfUTah";;;;;;;;;;;;;;;;;;;535;397;717;4729;;pastor | spiritual health practitioner | CGMH . CASC . FMCiC;Ontario, Canada;https://t.co/4CFApAtiGI;;29-11-2017 01:31;Open Twitter Page for This Person;https://twitter.com/erikaannemills;Yes;;;;;
imagine_garden;;;;;http://pbs.twimg.com/profile_images/979327429817913344/-HoLoyzn_normal.jpg;;;;;"imagine_garden

RT @erikaannemills: It feels like
ministers need to know a little
bit about EVERYTHING these days
#climatechange #racism #vaccines
#Indigen…";;;;;;;;;;;;;;;;;;;995;5031;245198;4102;;"""My grandmothers' ingenuity overcame gender discrimination and economic exploitation in a hostile society to prove their genius."" #earthsoldierbook
E.S.C.S";NJ;https://t.co/ilzZSeCYWQ;;6-5-2010 23:33;Open Twitter Page for This Person;https://twitter.com/imagine_garden;Yes;;;;;
timoudou;;;;;http://pbs.twimg.com/profile_images/1363191645009829890/43qjsY0V_normal.jpg;;;;;"timoudou

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;2122;940;26679;26284;;A warrior / 2020 makes me stronger than before / compassionate towards others in particular elders, disabled and children / Believe in Democracy & Womens rights;Toronto, Ontario;;;15-11-2020 10:58;Open Twitter Page for This Person;https://twitter.com/timoudou;Yes;;;;;
knobstick;;;;;http://pbs.twimg.com/profile_images/763374693713838081/gEOyZ-iX_normal.jpg;;;;;"knobstick

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;1821;744;62161;22225;;Retired bloke.  Pro-science.  Pro-civics. Pro-education. Non-theist/Apostate.  Humanist advocate. Pragmatic socialist.  Political hoe. Sometimes kitchy.;Kingston, Canada;;;1-9-2010 21:13;Open Twitter Page for This Person;https://twitter.com/knobstick;Yes;;;;;
savagesteamboat;;;;;http://pbs.twimg.com/profile_images/1344506053812170753/cyk0pObv_normal.jpg;;;;;"savagesteamboat

Now that I've been given a proper
Dungeons &amp; Dragons education...
Has anyone noticed how the Satanic
Panic of the 8… https://t.co/fH4TGJuh31";;;;;;;;;;;;;;;;;;;137;426;9825;10035;;Explorer into further regions of experience/demon to some/angel to others/Also: Book fetishist, Curator & Demiurge #DionysianDialectics;Corona Park, NY;;;8-2-2011 19:26;Open Twitter Page for This Person;https://twitter.com/savagesteamboat;Yes;;;;;
vinoit;;;;;http://pbs.twimg.com/profile_images/1328596072/48959_610282326_5003786_n_normal.jpg;;;;;"vinoit

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;504;703;85249;2390;;I am a Canadian that love politics and follow American politics also .;New Brunswick ,Canada ;;;8-9-2009 23:00;Open Twitter Page for This Person;https://twitter.com/vinoit;Yes;;;;;
crusader_4_cos;;;;;http://pbs.twimg.com/profile_images/736806062305595392/YCzwssNr_normal.jpg;;;;;"crusader_4_cos

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;379;618;25610;4344;;Hounrary member, this page is for posting and supporting the efforts of UCCO-SACC-CSN. It is not an official page and the views are mine.;Vancouver Canada;;;23-12-2011 19:27;Open Twitter Page for This Person;https://twitter.com/crusader_4_cos;Yes;;;;;
